Frequency (Hz),RCS (m²)
33829198396.793583,0.0001246830109417158
33909338677.354706,0.00012476122424176007
33989478957.91583,0.00012476337977301117
34069619238.47695,0.0001246897233490181
34149759519.038074,0.00012454064461888707
34229899799.599197,0.00012431667626918274
34310040080.160316,0.00012401849293552035
34390180360.72144,0.00012364690982164707
34470320641.28256,0.00012320288102473967
34550460921.84368,0.00012268749756660674
34630601202.40481,0.00012210198513150572
34710741482.96593,0.00012144770151230975
34790881763.527054,0.00012072613376783943
34871022044.08817,0.00011993889509525718
34951162324.6493,0.00011908772142250474
35031302605.21042,0.00011817446772688126
35111442885.77154,0.00011720110408692258
35191583166.332664,0.00011616971147584184
35271723446.89378,0.00011508247730582395
35351863727.45491,0.00011394169073349636
35432004008.01603,0.00011274973773787475
35512144288.57715,0.00011150909598301957
35592284569.138275,0.00011022232947851678
35672424849.699394,0.00010889208305171923
35752565130.26052,0.00010752107664643112
35832705410.82164,0.0001061120994634121
35912845691.38277,0.000104668003958664
35992985971.943886,0.00010319169971600067
36073126252.505005,0.00010168614721083151
36153266533.06613,0.0001001543514824371
36233406813.62725,9.859935573228553e-05
36313547094.18838,9.702423486609512e-05
36393687374.7495,9.543208899744576e-05
36473827655.310616,9.382603693070962e-05
36553967935.87174,9.220920964099662e-05
36634108216.43286,9.058474376860618e-05
36714248496.99399,8.89557751452135e-05
36794388777.55511,8.732543236867603e-05
36874529058.11623,8.569683044290626e-05
36954669338.67735,8.407306449877877e-05
37034809619.23847,8.24572036114558e-05
37114949899.7996,8.085228472890871e-05
37195090180.36072,7.926130672573167e-05
37275230460.921844,7.768722459560858e-05
37355370741.48296,7.613294379503985e-05
37435511022.04408,7.460131475012992e-05
37515651302.60521,7.309512753739841e-05
37595791583.16633,7.161710674873716e-05
37675931863.727455,7.016990654976744e-05
37756072144.288574,6.875610593996987e-05
37836212424.84969,6.737820422209013e-05
37916352705.41082,6.60386166874648e-05
37996492985.97194,6.473967052301396e-05
38076633266.533066,6.348360094485189e-05
38156773547.094185,6.227254756259939e-05
38236913827.65531,6.110855097770562e-05
38317054108.21643,5.99935496183148e-05
38397194388.77755,5.892937681246802e-05
38477334669.33868,5.7917758100740496e-05
38557474949.899796,5.69603087887474e-05
38637615230.46092,5.6058531739330435e-05
38717755511.02204,5.521381540367066e-05
38797895791.58316,5.4427432090023164e-05
38878036072.14429,5.370053646829555e-05
38958176352.70541,5.303416430824568e-05
39038316633.26653,5.242923144866629e-05
39118456913.82765,5.1886532994583233e-05
39198597194.38877,5.1406742739171425e-05
